"timestamp","instrument_id","open","high","low","close","volume"
"2024-01-02T15:15:00.000000Z",15144,472.12,472.29,471.96,472.05,137150
"2024-01-02T15:10:00.000000Z",15144,472.29,472.46,472.02,472.1,133656
"2024-01-02T15:05:00.000000Z",15144,472.55,472.57,471.98,472.3,151421
"2024-01-02T15:00:00.000000Z",15144,472.275,472.71,472.14,472.55,240179
"2024-01-02T14:55:00.000000Z",15144,471.42,472.27,471.39,472.27,347749
"2024-01-02T14:50:00.000000Z",15144,471.395,471.95,471.37,471.42,280656
"2024-01-02T14:45:00.000000Z",15144,471.79,472.08,471.39,471.39,279408
"2024-01-02T14:40:00.000000Z",15144,471.92,472.1,471.71,471.8,316272
"2024-01-02T14:35:00.000000Z",15144,472.69,472.74,471.88,471.92,334610
"2024-01-02T14:30:00.000000Z",15144,472.16,472.8,472.05,472.67,559238
"2024-01-02T14:25:00.000000Z",15144,472.42,472.42,472.09,472.19,83010
"2024-01-02T14:20:00.000000Z",15144,472.27,472.47,472.2,472.4,27227
"2024-01-02T14:15:00.000000Z",15144,472.26,472.33,472.22,472.25,35396
"2024-01-02T14:10:00.000000Z",15144,472.16,472.29,472.01,472.24,27785
"2024-01-02T14:05:00.000000Z",15144,471.58,472.19,471.56,472.16,16023
"2024-01-02T14:00:00.000000Z",15144,472.09,472.18,471.55,471.55,20694
"2024-01-02T13:55:00.000000Z",15144,471.97,472.12,471.96,472.03,6645
"2024-01-02T13:50:00.000000Z",15144,471.92,471.93,471.85,471.93,2451
"2024-01-02T13:45:00.000000Z",15144,472.09,472.1,471.9,471.95,8748
"2024-01-02T13:40:00.000000Z",15144,472.1,472.13,472.01,472.1,4076
"2024-01-02T13:35:00.000000Z",15144,472.29,472.32,471.92,472.01,4756
"2024-01-02T13:30:00.000000Z",15144,471.71,472.3,471.64,472.3,19047
"2024-01-02T13:25:00.000000Z",15144,471.75,471.97,471.74,471.81,3401
"2024-01-02T13:20:00.000000Z",15144,471.76,471.89,471.66,471.76,10622
"2024-01-02T13:15:00.000000Z",15144,471.66,471.79,471.66,471.76,4361
"2024-01-02T13:10:00.000000Z",15144,471.83,471.95,471.67,471.67,9487
"2024-01-02T13:05:00.000000Z",15144,471.99,472.07,471.86,472.01,4871
"2024-01-02T13:00:00.000000Z",15144,471.76,472.0,471.66,471.97,41346
"2024-01-02T12:55:00.000000Z",15144,472.0,472.04,471.7,471.79,20887
"2024-01-02T12:50:00.000000Z",15144,472.31,472.34,472.01,472.02,45896
"2024-01-02T12:45:00.000000Z",15144,472.41,472.48,472.34,472.34,2640
"2024-01-02T12:40:00.000000Z",15144,472.39,472.54,472.37,472.51,2624
"2024-01-02T12:35:00.000000Z",15144,472.61,472.63,472.41,472.49,2120
"2024-01-02T12:30:00.000000Z",15144,472.61,472.65,472.55,472.65,3940
"2024-01-02T12:25:00.000000Z",15144,472.71,472.77,472.63,472.63,4711
"2024-01-02T12:20:00.000000Z",15144,472.54,472.78,472.54,472.78,28092
"2024-01-02T12:15:00.000000Z",15144,472.71,472.71,472.57,472.61,6087
"2024-01-02T12:10:00.000000Z",15144,472.78,472.95,472.77,472.8,12238
"2024-01-02T12:05:00.000000Z",15144,472.84,472.84,472.55,472.82,10405
"2024-01-02T12:00:00.000000Z",15144,473.03,473.03,472.81,472.82,3243
"2024-01-02T11:55:00.000000Z",15144,472.92,473.12,472.92,473.12,41
"2024-01-02T11:50:00.000000Z",15144,472.98,472.98,472.84,472.91,1781
"2024-01-02T11:45:00.000000Z",15144,472.79,473.0,472.79,473.0,9736
"2024-01-02T11:40:00.000000Z",15144,472.75,472.77,472.72,472.75,2800
"2024-01-02T11:35:00.000000Z",15144,472.76,472.81,472.55,472.72,5426
"2024-01-02T11:30:00.000000Z",15144,473.17,473.24,473.06,473.08,3642
"2024-01-02T11:25:00.000000Z",15144,473.64,473.64,473.2,473.22,3146
"2024-01-02T11:20:00.000000Z",15144,473.66,473.76,473.52,473.52,1905
"2024-01-02T11:15:00.000000Z",15144,474.22,474.25,473.59,473.59,3492
"2024-01-02T11:10:00.000000Z",15144,474.6,474.66,474.22,474.22,200
"2024-01-02T11:05:00.000000Z",15144,475.09,475.09,474.62,474.62,804
"2024-01-02T11:00:00.000000Z",15144,475.05,475.05,475.0,475.0,239
"2024-01-02T10:55:00.000000Z",15144,475.23,475.23,475.1,475.1,331
"2024-01-02T10:50:00.000000Z",15144,475.37,475.4,475.32,475.37,5700
"2024-01-02T10:40:00.000000Z",15144,475.46,475.51,475.45,475.45,191
"2024-01-02T10:35:00.000000Z",15144,475.25,475.38,475.25,475.38,405
"2024-01-02T10:25:00.000000Z",15144,475.27,475.27,475.1,475.14,16
"2024-01-02T10:20:00.000000Z",15144,475.33,475.37,475.33,475.36,624
"2024-01-02T10:15:00.000000Z",15144,475.26,475.31,475.26,475.31,35
"2024-01-02T10:10:00.000000Z",15144,475.26,475.28,475.2,475.23,68
"2024-01-02T10:05:00.000000Z",15144,475.32,475.38,475.31,475.31,428
"2024-01-02T10:00:00.000000Z",15144,475.35,475.35,475.35,475.35,200
"2024-01-02T09:55:00.000000Z",15144,475.39,475.4,475.39,475.4,150
"2024-01-02T09:50:00.000000Z",15144,475.42,475.42,475.31,475.31,15
"2024-01-02T09:40:00.000000Z",15144,475.42,475.42,475.42,475.42,25
"2024-01-02T09:35:00.000000Z",15144,475.69,475.69,475.51,475.51,171
"2024-01-02T09:30:00.000000Z",15144,475.75,475.76,475.69,475.69,1209
"2024-01-02T09:25:00.000000Z",15144,475.66,475.75,475.66,475.75,564
"2024-01-02T09:20:00.000000Z",15144,475.77,475.78,475.71,475.72,548
"2024-01-02T09:15:00.000000Z",15144,475.93,475.93,475.81,475.81,172
"2024-01-02T09:10:00.000000Z",15144,476.15,476.15,476.15,476.15,40
"2024-01-02T09:05:00.000000Z",15144,476.18,476.18,476.14,476.14,2210
"2024-01-02T09:00:00.000000Z",15144,476.37,476.37,476.27,476.28,10640
